"airportIATACode";"airportName";"airportICAOCode"
"BDP";"Bhadrapur";"VNCG"
"BDQ";"Vadodara";"VABO"
"BDR";"Igor I. Sikorsky Memorial";"KBDR"
"BDS";"BRINDISI";"LIBR"
"BDT";"Gbadolite";"FZFD"
"BDU";"BARDUFOSS";"ENDU"
"BDV";"Moba";"FZRB"
"BDW";"Bedford Downs";""
"BDX";"Broadus";""
"BDY";"State";""
"BDZ";"Baindoung";""
"BEB";"Benbecula";"EGPL"
"BEC";"Beech";"KBEC"
"BED";"Hanscom Field";"KBED"
"BEE";"Beagle Bay";""
"BEF";"Bluefields";"MNBL"
"BEG";"BELGRADE";"LYBE"
"BEH";"Ross Field";""
"BEI";"Beica";"HABE"
"BEJ";"Kalimaru";"WALK"
"BEK";"Bareli";"VIBY"
"BEL";"VAL DE CANS/ JULIO CESAR RIBEIRO INTL";"SBBE"
"BEM";"Beni Mellal Airport";"GMMD"
"BEN";"BENINA INTL";"HLLB"
"BEO";"Belmont";"YPEC"
"BEP";"Bellary";"VOBI"
"BEQ";"Honington";"EGXH"
"BER";"BRANDENBURG INTERNATIONAL AIRPORT";""
"BES";"BREST";"LFRB"
"BET";"Bethel Airport";"PABE"
"BEU";"Bedourie";"YBIE"
"BEV";"Beer Sheba";"LLBS"
"BEW";"BEIRA";"FQBR"
"BEX";"Benson (RAF Station)";"EGUB"
"BEY";"BEIRUTE";"OLBA"
"BEZ";"Beru";"NGBR"
"BFA";"Bahia Negra";""
"BFC";"Bloomfield";""
"BFD";"Bradford";"KBFD"
"BFE";"Bielefeld";"EDLI"
"BFF";"Western Neb. Regional";"KBFF"
"BFG";"Bullfrog Basin";""
"BFH";"Bacacheri";"SBBI"
"BFI";"Boeing Field/King County International Airport";"KBFI"
"BFJ";"Bijie Feixiong Airport";"ZUBJ"
"BFK";"Buffalo Municipal Airport";"KBKF"
"BFL";"MEADOWS FLD";"KBFL"
"BFM";"Mobile Downtown";"KBFM"
"BFN";"BLOEMFONTEIN";"FABL"
"BFO";"Buffalo Range";"FVCZ"
"BFP";"Beaver Falls";"KBVI"
"BFQ";"Bahia Pinas";""
"BFR";"Virgil I Grissom Municipalcipal";"KBFR"
"BFS";"ALDERGROVE";"EGAA"
"BFT";"County";"KBFT"
"BFU";"Bengbu";"ZSBB"
"BFV";"Buri Ram";"VTUO"
"BFW";"Sidi Belabbes";"DAOS"
"BFX";"Bafoussam";"FKKU"
"BGA";"PALO NEGRO";"SKBG"
"BGB";"Booue";"FOGB"
"BGC";"Braganca";"LPBG"
"BGD";"Borger";"KBGD"
"BGE";"Decatur County";"KBGE"
"BGF";"BANGUI";"FEFF"
"BGG";"Bongouanou";""
"BGH";"Abbaye";"GQNE"
"BGI";"BRIDGETOWN";"TBPB"
"BGJ";"Borgarfjordur Eystri";"BIBF"
"BGK";"Big Creek";""
"BGL";"Baglung";"VNBL"
"BGM";"Greater Binghamton";"KBGM"
"BGN";"Belaya Gora Airport";"UESG"
"BGO";"BERGEN-FLESLAND";"ENBR"
"BGP";"Bongo";""
"BGQ";"Big Lake";"PAGQ"
"BGR";"BANGOR INTL";"KBGR"
"BGT";"Bagdad";""
"BGU";"Bangassou";"FEFG"
"BGV";"Bento Goncalves";""
"BGW";"BAGHDAD INTERNAC";"ORBI"
"BGX";"Airport Cmdt. Gustavo Kraemer";"SBBG"
"BGY";"ORIO AL SERIO";"LIME"
"BGZ";"Braga";"LPBR"
"BHA";"Bahia De Caraquez";"SEBC"
"BHB";"Bar Harbor";"KBHB"
"BHD";"CITY";"EGAC"
"BHE";"Woodbourne Air Station";"NZWB"
"BHF";"Bahia Cupica";""
"BHG";"Brus Laguna";"MHBL"
"BHH";"Bisha";"OEBH"
"BHI";"COMANDANTE";"SAZB"
"BHJ";"Rudra Mata";"VABJ"
"BHK";"Bukhara";"UTSB"
"BHL";"Bahia Angeles";""
"BHM";"BIRMINGHAM";"KBHM"
"BHN";"Beihan";"OYBN"
"BHO";"Bhopal";"VABP"
"BHP";"Bhojpur";"VNBJ"
"BHQ";"Broken Hill";"YBHI"
"BHR";"Bharatpur Airport";"VNBP"
"BHS";"Raglan";"YBTH"
"BHT";"Brighton Downs";""
"BHU";"Bhavnagar";"VABV"
"BHV";"Bahawalpur";"OPBW"
"BHW";"Bhagatanwala Airport";"OPBG"
"BHX";"BIRMINGHAN";"EGBB"
"BHY";"BEIHAI";"ZGBH"
"BIA";"PORETTA";"LFKB"
"BIB";"Baidoa";"HCMB"
"BID";"Block Island";"KBID"
"BIE";"Beatrice";"BIES"
"BIF";"Biggs AAF";"KBIF"
"BIG";"Intermediate Field";"PABI"
"BIH";"Bishop";"KBIH"
"BII";"Enyu Airfield";""
"BIK";"Frans Kaisepo";"WABB"
"BIL";"BILLINGS";"KBIL"
"BIM";"BIMINI INTL";"MYBS"
"BIN";"Bamiyan";"OABN"
"BIO";"BILBAO";"LEBB"
"BIP";"Bulimba";""
"BIQ";"BIARRITZ";"LFBZ"
"BIR";"Biratnagar";"VNVT"
"BIS";"BISMARCK";"KBIS"
"BIT";"Baitadi";"VNBT"
"BIU";"Bildudalur";"BIBD"
"BIV";"Bria";"KBIV"
"BIW";"Billiluna";""
"BIX";"Keesler AFB";"KBIX"
"BIY";"Bisho";"FABE"
